	mgs	pval	delta	delta.low	delta.up	fdr	bacteria	genome	annotation
progression.105	Bacteroides uniformis:1690_1692;1692_1693;1693_1707	0.867116307	0.044984256	-0.150179891	0.236774008	0.964337218	Bacteroides uniformis:1690	411479.PRJNA18195	"Genes_ thiamine biosynthesis lipoprotein ApbE family protein;ferritin-like protein;membrane protein, MarC family;ferritin;deoxyribose-phosphate aldolase;phosphoglycerate mutase 1 family;Hsp20/alpha crystallin family protein;Sigma-70 region 2;6-phosphofructokinase;TrkA C-terminal domain protein;alpha-glucan phosphorylase;putative methylglyoxal synthase"
progression.106	Bacteroides uniformis:1708_1709;1710_1711	0.934635727	-0.05802969	-0.250500944	0.138854441	0.98229956	Bacteroides uniformis:1708	411479.PRJNA18195	"Genes_ site-specific recombinase, phage integrase family"
progression.107	Bacteroides uniformis:2951_2952;2952_2953;2953_2954;2954_2957;2957_2958;2958_2959;2959_2960;2965_2966;2966_2967;2967_2968	0.063983168	0.153396311	-0.045420993	0.340524553	0.588176301	Bacteroides uniformis:2951	411479.PRJNA18195	Genes_ TonB-dependent receptor
progression.108	Bacteroides uniformis:2975_2976;2979_2980;2980_2981;2981_2982;2982_2983;2983_2984;2984_2985;2985_2986;3203_3204;3204_3205	0.953960244	0.038236617	-0.15976067	0.233276387	0.985254463	Bacteroides uniformis:2975	411479.PRJNA18195	"Genes_ ABC transporter, ATP-binding protein;TonB-dependent receptor;trypsin and protease inhibitor"
progression.109	Bacteroides uniformis:4572_4573	0.144248054	0.0634278	-0.13264263	0.254721045	0.636526454	Bacteroides uniformis:4572	411479.PRJNA18195	"Genes_ IS66 family element, transposase"
progression.110	Bacteroides uniformis:2608_2609	0.831023275	0.103013945	-0.09152576	0.289979579	0.964337218	Bacteroides uniformis:2608	411479.PRJNA18195	Genes_ integrase core domain protein;transposase
progression.111	Blautia obeum:1377_1378;1378_1379;1379_1380;1380_1382;1382_1384;1385_1386;1386_1387;1387_1388;1389_1390;1390_1391;1391_1392;1392_1393;1394_1395;1395_1396;1396_1397;1397_1398;1398_1399;1399_1400;1400_1402;1402_1404;1404_1405;1406_1407;1407_1408;1408_1409;1411_1412	0.381542291	0.049230769	-0.148451656	0.243129949	0.810421341	Blautia obeum:1377	411459.PRJNA18147	"Genes_ integrase core domain protein;Cpl-7 lysozyme C-terminal domain protein;toxin secretion/phage lysis holin;conserved domain protein;phage minor structural protein, N-terminal domain protein;phage tail tape measure protein, TP901 family;phage major tail protein, phi13 family;phage protein, HK97 gp10 family;putative phage head-tail adaptor;phage DNA packaging protein;phage major capsid protein, HK97 family;endopeptidase Clp;phage portal protein, HK97 family;putative phage terminase, large subunit;phage terminase, small subunit, P27 family;PemK-like protein;CobQ/CobB/MinD/ParA nucleotide binding domain protein;transglycosylase SLT domain protein"
progression.112	Blautia obeum:1446_1447	0.687985437	0.003516484	-0.191369893	0.198136105	0.942357033	Blautia obeum:1446	411459.PRJNA18147	Genes_ ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein;response regulator receiver domain protein
progression.113	Blautia obeum:1450_1451	0.911508224	0.045274725	-0.147698794	0.234927512	0.978082838	Blautia obeum:1450	411459.PRJNA18147	Genes_ unannotated
progression.114	Blautia obeum:2691_2692;2692_2693;2693_2694;2695_2697	0.132135301	-0.224615385	-0.402507498	-0.030375945	0.630681872	Blautia obeum:2691	411459.PRJNA18147	"Genes_ MobA/MobL family protein;DNA-binding helix-turn-helix protein;site-specific recombinase, phage integrase family"
progression.115	Blautia obeum:1289_1291;1291_1293;1293_1295;1295_1297	0.801684483	0.031648352	-0.163546097	0.224458214	0.964337218	Blautia obeum:1289	411459.PRJNA18147	"Genes_ transcriptional regulator, AraC family;conserved hypothetical protein TIGR02185;cobalt transport protein;ABC transporter, ATP-binding protein;iron dependent repressor DNA binding domain protein"
progression.116	Blautia obeum:2779_2780;2782_2784	0.112606289	0.120879121	-0.076178383	0.308848905	0.623086261	Blautia obeum:2779	411459.PRJNA18147	"Genes_ putative type I restriction-modification system, M subunit;type I site-specific deoxyribonuclease, HsdR family"
progression.117	Blautia obeum:2784_2785	0.046149129	0.075164835	-0.120811933	0.26550219	0.588176301	Blautia obeum:2784	411459.PRJNA18147	"Genes_ type I site-specific deoxyribonuclease, HsdR family"
progression.118	Blautia obeum:2781_2782	0.238109458	0.077802198	-0.115699331	0.265614323	0.744932141	Blautia obeum:2781	411459.PRJNA18147	Genes_ unannotated
progression.119	Blautia obeum:3034_3036;3036_3038	0.232309565	0.016703297	-0.180284162	0.212402561	0.744932141	Blautia obeum:3034	411459.PRJNA18147	"Genes_ MobA/MobL family protein;putative bacteriocin export ABC transporter, lactococcin 972 group;resolvase, N-terminal domain protein"
progression.120	Blautia obeum:3031_3033	0.510938379	0.031208791	-0.165838985	0.225860168	0.892525271	Blautia obeum:3031	411459.PRJNA18147	Genes_ ;MobA/MobL family protein
progression.121	Blautia obeum:3033_3034	0.539303582	0.054945055	-0.143719918	0.249352995	0.915047881	Blautia obeum:3033	411459.PRJNA18147	Genes_ MobA/MobL family protein
progression.122	Blautia obeum:3038_3040	0.658595684	0.093626374	-0.101091183	0.281435586	0.942357033	Blautia obeum:3038	411459.PRJNA18147	"Genes_ resolvase, N-terminal domain protein"
progression.123	Blautia obeum:3027_3028	0.266471132	0.101538462	-0.097218972	0.292507504	0.755609921	Blautia obeum:3027	411459.PRJNA18147	Genes_ DNA-binding helix-turn-helix protein;
progression.124	Blautia obeum:3028_3029	0.308877201	0.054945055	-0.142409094	0.248097569	0.778627063	Blautia obeum:3028	411459.PRJNA18147	Genes_ unannotated
progression.125	Blautia obeum:3019_3020	0.457358407	0.058021978	-0.138386761	0.250039462	0.865987609	Blautia obeum:3019	411459.PRJNA18147	Genes_ TnpX site-specific recombinase
progression.126	Blautia obeum:3020_3021	0.902578945	0.075604396	-0.123672178	0.269019411	0.975633637	Blautia obeum:3020	411459.PRJNA18147	Genes_ TnpX site-specific recombinase;
progression.127	Blautia obeum:3021_3023	0.630975356	0.030769231	-0.16597696	0.225159618	0.942357033	Blautia obeum:3021	411459.PRJNA18147	Genes_ Virulence-associated protein E;CHC2 zinc finger domain protein
progression.128	Blautia obeum:3023_3025	0.486917998	0.103296703	-0.091844513	0.290797326	0.876850512	Blautia obeum:3023	411459.PRJNA18147	Genes_ CHC2 zinc finger domain protein;MobA/MobL family protein;
progression.129	Blautia obeum:3025_3027	0.384223069	-0.006153846	-0.197697202	0.185842149	0.810421341	Blautia obeum:3025	411459.PRJNA18147	Genes_ ;conserved domain protein;DNA-binding helix-turn-helix protein
progression.130	Blautia obeum:1283_1284;1284_1285;1285_1286;2748_2749;2749_2750;2978_2979;2979_2980;2980_2981	0.033890098	0.134505495	-0.062830086	0.321719616	0.588176301	Blautia obeum:1283	411459.PRJNA18147	"Genes_ site-specific recombinase, phage integrase family"
progression.131	Blautia obeum:430_431;433_434;434_435;435_436;436_437	0.863217969	-0.079120879	-0.268342203	0.115979067	0.964337218	Blautia obeum:430	411459.PRJNA18147	Genes_ LPXTG-motif cell wall anchor domain protein;FtsK/SpoIIIE family protein;DNA-binding helix-turn-helix protein
progression.132	Blautia obeum:449_450	0.675877638	-0.042197802	-0.235446677	0.154260903	0.942357033	Blautia obeum:449	411459.PRJNA18147	"Genes_ sigma-70, region 4;"
progression.133	Blautia obeum:450_452	0.366998967	-0.076483516	-0.267664875	0.120492182	0.801317567	Blautia obeum:450	411459.PRJNA18147	"Genes_ ;resolvase, N-terminal domain protein"
progression.134	Blautia obeum:2970_2971;2971_2972;2972_2973	0.764394089	-0.112967033	-0.299767993	0.082176358	0.957522506	Blautia obeum:2970	411459.PRJNA18147	"Genes_ ABC transporter, ATP-binding protein;Sigma-70 region 2"
progression.135	Blautia obeum:2983_2985;2985_2987;2987_2989;2989_2991;2991_2993;2993_2994	0.580757159	0.147252747	-0.048406283	0.33202852	0.927678461	Blautia obeum:2983	411459.PRJNA18147	"Genes_ TnpX site-specific recombinase;ParB-like protein;plasmid recombination enzyme;sigma-70, region 4;RNA polymerase sigma factor, sigma-70 family;putative translation elongation factor G;conserved domain protein"
progression.136	Blautia obeum:1538_1540;1540_1542;1544_1546;1546_1548;1549_1550	0.833321934	0.093186813	-0.096028182	0.275901973	0.964337218	Blautia obeum:1538	411459.PRJNA18147	Genes_ LPXTG-motif cell wall anchor domain protein;FtsK/SpoIIIE family protein;DNA-binding helix-turn-helix protein;antirestriction protein ArdA
progression.137	Blautia obeum:1542_1544	0.876436117	0.065054945	-0.129322786	0.254618158	0.967479851	Blautia obeum:1542	411459.PRJNA18147	Genes_ FtsK/SpoIIIE family protein;DNA-binding helix-turn-helix protein
progression.138	Blautia obeum:1560_1562	0.986443428	0.111208791	-0.079929948	0.294459509	0.993617373	Blautia obeum:1560	411459.PRJNA18147	"Genes_ ;site-specific recombinase, phage integrase family"
progression.139	Blautia obeum:1308_1309;1309_1310	0.949554838	0.00043956	-0.193087221	0.193933422	0.985252388	Blautia obeum:1308	411459.PRJNA18147	"Genes_ DNA binding domain, excisionase family;site-specific recombinase, phage integrase family"
progression.140	Blautia obeum:1274_1275;1275_1277;1277_1279;1279_1281;1281_1282;1286_1287;1287_1289	0.91642852	-0.02989011	-0.224234331	0.166740598	0.978082838	Blautia obeum:1274	411459.PRJNA18147	"Genes_ NlpC/P60 family protein;conserved domain protein;DNA topoisomerase;DNA repair protein RadC;site-specific recombinase, phage integrase family"
progression.141	Blautia obeum:1256_1258;1259_1260;1261_1262;1262_1264;1264_1266;1266_1267;1267_1269;1269_1271	0.992913392	0.014945055	-0.175847387	0.204655374	0.995317541	Blautia obeum:1256	411459.PRJNA18147	Genes_ DNA-binding helix-turn-helix protein;ImpB/MucB/SamB family protein;putative phage head-tail adaptor;TraG/TraD family protein
progression.142	Blautia obeum:1260_1261	0.685399211	0.017142857	-0.176258839	0.209270199	0.942357033	Blautia obeum:1260	411459.PRJNA18147	"Genes_ ;RNA polymerase sigma factor, sigma-70 family"
progression.143	Blautia obeum:2501_2502;2504_2505	0.658987635	0.108131868	-0.089132986	0.297233951	0.942357033	Blautia obeum:2501	411459.PRJNA18147	"Genes_ transcriptional regulator, TetR family;ABC transporter, ATP-binding protein"
progression.144	Blautia obeum:1342_1343	0.675741682	0.084835165	-0.109436794	0.272864341	0.942357033	Blautia obeum:1342	411459.PRJNA18147	"Genes_ DNA binding domain, excisionase family;DNA-binding helix-turn-helix protein"
progression.145	Blautia obeum:836_837;846_847	0.878677353	0.233846154	0.041023362	0.409875964	0.967479851	Blautia obeum:836	411459.PRJNA18147	"Genes_ ABC transporter, ATP-binding protein;conserved domain protein"
progression.146	Blautia obeum:2672_2673;2674_2676	0.942450518	0.078681319	-0.114881871	0.266488344	0.9843546	Blautia obeum:2672	411459.PRJNA18147	Genes_ replication initiator protein A domain protein;MATE efflux family protein
progression.147	Blautia obeum:3040_3042;3042_3044;3044_3045;3048_3049;3049_3050	0.30919111	0.060659341	-0.135096181	0.251857369	0.778627063	Blautia obeum:3040	411459.PRJNA18147	"Genes_ resolvase, N-terminal domain protein;DNA-binding helix-turn-helix protein;replication initiator protein A domain protein;ParB-like protein;CobQ/CobB/MinD/ParA nucleotide binding domain protein"
progression.148	Blautia obeum:2981_2982;2994_2996;2999_3000	0.807080166	-0.024175824	-0.217809187	0.171288643	0.964337218	Blautia obeum:2981	411459.PRJNA18147	"Genes_ site-specific recombinase, phage integrase family;conserved domain protein;methyltransferase domain protein"
progression.149	Blautia obeum:2958_2959;2959_2960;2960_2961;2966_2967;2967_2968	0.822920545	0.065494505	-0.127922955	0.254112633	0.964337218	Blautia obeum:2958	411459.PRJNA18147	"Genes_ relaxase/mobilization nuclease domain protein;transcriptional regulatory protein, C-terminal domain protein;penicillinase repressor;penicillin-binding protein, transpeptidase domain protein"
progression.150	Blautia obeum:2953_2954;2954_2955;3015_3016;3017_3018	0.34218871	0.151648352	-0.044964567	0.336951182	0.778627063	Blautia obeum:2953	411459.PRJNA18147	"Genes_ site-specific recombinase, phage integrase family;sigma-70, region 4;NlpC/P60 family protein"
progression.151	Blautia obeum:3080_3081;3081_3083;3084_3086	0.774147034	-0.049230769	-0.24412625	0.149487319	0.957522506	Blautia obeum:3080	411459.PRJNA18147	"Genes_ rubredoxin;transcriptional regulator, Fur family;ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein;response regulator receiver domain protein"
progression.152	Blautia obeum:1494_1495;1495_1496	0.242823894	-0.130549451	-0.312675944	0.060835789	0.746141809	Blautia obeum:1494	411459.PRJNA18147	Genes_ ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein
progression.153	Blautia obeum:184_186;186_188;188_190;327_328;334_335;991_993;993_994;1090_1092;1092_1094;1094_1096;2697_2699;2699_2701;2703_2705;2705_2707;3547_3549;3550_3551	0.920652824	-0.037802198	-0.232329535	0.159632998	0.978082838	Blautia obeum:184	411459.PRJNA18147	"Genes_ MATE efflux family protein;small subunit ribosomal RNA;5S ribosomal RNA;ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein;ABC transporter, ATP-binding protein;transcriptional regulator, AraC family;M protein trans-acting positive regulator (MGA) HTH domain protein;tRNA-OTHER;rubredoxin;hemerythrin HHE cation binding domain protein;conserved domain protein;antioxidant, AhpC/TSA family;thioredoxin;rhodanese-like protein;pyridine nucleotide-disulfide oxidoreductase;cyclic nucleotide-binding domain protein;putative thioredoxin;thioredoxin-disulfide reductase"
progression.154	Blautia obeum:1524_1525	0.140472276	0.08	-0.114060865	0.268180281	0.636526454	Blautia obeum:1524	411459.PRJNA18147	Genes_ ATPase family associated with various cellular activities (AAA);
progression.155	Blautia obeum:2676_2677	0.569714878	0.078681319	-0.116546296	0.268054848	0.927678461	Blautia obeum:2676	411459.PRJNA18147	"Genes_ ;linear amide C-N hydrolase, choloylglycine hydrolase family protein"
progression.156	Blautia obeum:2701_2703	0.205853422	0.071648352	-0.120407949	0.258534804	0.694184522	Blautia obeum:2701	411459.PRJNA18147	Genes_ ;putative superoxide reductase;rubredoxin;bile acid 7-dehydroxylase 1/3;thioredoxin
progression.157	Blautia obeum:2685_2686	0.796415909	0.013626374	-0.181897486	0.208113703	0.964337218	Blautia obeum:2685	411459.PRJNA18147	Genes_ ;peptidase S24-like protein
progression.158	Blautia obeum:2681_2683	0.975262782	0.032967033	-0.161944824	0.22540314	0.992036343	Blautia obeum:2681	411459.PRJNA18147	Genes_ phospholipase D domain protein;response regulator receiver domain protein;ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein
progression.159	Blautia obeum:1250_1252	0.743368983	-0.041318681	-0.233897538	0.154379889	0.944033003	Blautia obeum:1250	411459.PRJNA18147	Genes_ ParB-like protein;replication initiator protein A domain protein;
progression.160	Blautia obeum:1535_1536	0.886918287	-0.107252747	-0.296311507	0.089894177	0.96882367	Blautia obeum:1535	411459.PRJNA18147	Genes_ glycosyl hydrolase family 3 N-terminal domain protein;
progression.161	Blautia obeum:1165_1166	0.679407928	0.186373626	-0.009962269	0.368872938	0.942357033	Blautia obeum:1165	411459.PRJNA18147	Genes_ DNA-binding helix-turn-helix protein;;Rep protein
progression.162	Blautia obeum:1436_1438	0.293062857	-0.026813187	-0.220378631	0.168784059	0.778627063	Blautia obeum:1436	411459.PRJNA18147	"Genes_ ;IS66 family element, Orf2 protein;IS66 family element, transposase"
progression.163	Blautia obeum:2717_2718	0.956696363	0.01010989	-0.184560152	0.204016602	0.985254463	Blautia obeum:2717	411459.PRJNA18147	"Genes_ ;sigma-70, region 4;RNA polymerase sigma factor, sigma-70 family"
progression.164	Blautia obeum:1303_1304	0.250514104	-0.060659341	-0.252050278	0.135298401	0.754135928	Blautia obeum:1303	411459.PRJNA18147	Genes_ ketopantoate reductase PanE/ApbA;methyltransferase domain protein;
progression.165	Blautia wexlerae:1663_1693	0.137044262	0.095890411	-0.08011718	0.266099302	0.630681872	Blautia wexlerae:1663	1121115.PRJNA195783	Genes_ NA
progression.166	Blautia wexlerae:1693_1708	0.158955159	0.134357271	-0.041546032	0.302182038	0.658074358	Blautia wexlerae:1693	1121115.PRJNA195783	Genes_ NA
progression.167	Blautia wexlerae:3394_3403;3403_3404	0.965167182	0.059914211	-0.114766201	0.231000595	0.988332321	Blautia wexlerae:3394	1121115.PRJNA195783	Genes_ NA
progression.168	Blautia wexlerae:736_739	0.777119715	0.088141691	-0.086194096	0.257239974	0.957522506	Blautia wexlerae:736	1121115.PRJNA195783	Genes_ NA
progression.169	Blautia wexlerae:3969_3972	0.95463418	0.113325031	-0.060627358	0.280596716	0.985254463	Blautia wexlerae:3969	1121115.PRJNA195783	Genes_ NA
progression.170	Blautia wexlerae:1329_1331;3491_3492;3494_3496;3496_3504;3504_3510	0.37525863	0.02642867	-0.147907894	0.199172295	0.810421341	Blautia wexlerae:1329	1121115.PRJNA195783	Genes_ NA
progression.171	Blautia wexlerae:2338_2342;2342_2343;2345_2347;2347_2348;3512_3513	0.574159058	0.077348831	-0.093895369	0.244147752	0.927678461	Blautia wexlerae:2338	1121115.PRJNA195783	Genes_ NA
progression.172	Blautia wexlerae:1333_1336	0.923828447	0.171163692	-0.006600097	0.338440867	0.978082838	Blautia wexlerae:1333	1121115.PRJNA195783	Genes_ NA
progression.173	Blautia wexlerae:1153_1154;1154_1155	0.392536676	0.114985471	-0.059631109	0.282773934	0.810421341	Blautia wexlerae:1153	1121115.PRJNA195783	Genes_ NA
progression.174	Blautia wexlerae:3792_3798	0.270220964	0.183063512	0.007533836	0.347649142	0.761030471	Blautia wexlerae:3792	1121115.PRJNA195783	Genes_ NA
progression.175	Blautia wexlerae:3800_3803	0.693316607	0.182233292	0.008152106	0.345593758	0.942357033	Blautia wexlerae:3800	1121115.PRJNA195783	Genes_ NA
progression.176	Blautia wexlerae:3798_3800	0.239313949	0.131313131	-0.044279686	0.299035668	0.744932141	Blautia wexlerae:3798	1121115.PRJNA195783	Genes_ NA
progression.177	Blautia wexlerae:3778_3781	0.312694816	0.162308012	-0.013377252	0.328272205	0.778627063	Blautia wexlerae:3778	1121115.PRJNA195783	Genes_ NA
progression.178	Blautia wexlerae:1325_1326;1326_1327;2779_2786	0.195911709	0.162861492	-0.013971654	0.329816261	0.694184522	Blautia wexlerae:1325	1121115.PRJNA195783	Genes_ NA
progression.179	Blautia wexlerae:3534_3535	0.188913935	0.268852913	0.094509811	0.427195592	0.692463672	Blautia wexlerae:3534	1121115.PRJNA195783	Genes_ NA
progression.180	Blautia wexlerae:3539_3540	0.065874519	0.216549052	0.04199564	0.378274669	0.588176301	Blautia wexlerae:3539	1121115.PRJNA195783	Genes_ NA
progression.181	Blautia wexlerae:3545_3547	0.016594095	0.311747613	0.140843061	0.464609973	0.588176301	Blautia wexlerae:3545	1121115.PRJNA195783	Genes_ NA
progression.182	Blautia wexlerae:674_675	0.063099491	0.205756192	0.029246121	0.369822321	0.588176301	Blautia wexlerae:674	1121115.PRJNA195783	Genes_ NA
progression.183	Blautia wexlerae:3541_3545	0.080262765	0.141275771	-0.033011481	0.307224432	0.588176301	Blautia wexlerae:3541	1121115.PRJNA195783	Genes_ NA
progression.184	Blautia wexlerae:3464_3465;3471_3473;3473_3477	0.721310678	0.111111111	-0.068874406	0.284091487	0.944033003	Blautia wexlerae:3464	1121115.PRJNA195783	Genes_ NA
progression.185	Blautia wexlerae:1764_1766;1766_1768	0.037710552	-0.03943545	-0.205994323	0.129344073	0.588176301	Blautia wexlerae:1764	1121115.PRJNA195783	Genes_ NA
progression.186	Blautia wexlerae:1718_1722;1724_1728;1736_1738;1738_1747;1747_1756;1756_1759	0.070133658	-0.057423551	-0.22427944	0.11270325	0.588176301	Blautia wexlerae:1718	1121115.PRJNA195783	Genes_ NA
progression.187	Blautia wexlerae:2940_2941	0.25374674	0.164798672	-0.012561819	0.332105764	0.755609921	Blautia wexlerae:2940	1121115.PRJNA195783	Genes_ NA
progression.188	Blautia wexlerae:4309_4310	0.919870234	0.03445413	-0.141133653	0.207940332	0.978082838	Blautia wexlerae:4309	1121115.PRJNA195783	Genes_ NA
progression.189	Blautia wexlerae:2633_2635	0.41100423	0.053272451	-0.12357756	0.226842662	0.816078055	Blautia wexlerae:2633	1121115.PRJNA195783	Genes_ NA
progression.190	Blautia wexlerae:2081_2084	0.197904878	0.117476131	-0.05421207	0.282417723	0.694184522	Blautia wexlerae:2081	1121115.PRJNA195783	Genes_ NA
progression.191	Blautia wexlerae:2084_2090	0.090182714	0.050505051	-0.124158028	0.222132409	0.602187801	Blautia wexlerae:2084	1121115.PRJNA195783	Genes_ NA
progression.192	Blautia wexlerae:2090_2091	0.279532543	0.066555971	-0.10539327	0.234640882	0.772678641	Blautia wexlerae:2090	1121115.PRJNA195783	Genes_ NA
progression.193	Blautia wexlerae:2079_2081	0.91729341	0.183893732	0.010632242	0.346435014	0.978082838	Blautia wexlerae:2079	1121115.PRJNA195783	Genes_ NA
progression.194	Blautia wexlerae:2786_2795	0.531537677	0.230109312	0.06665921	0.381532121	0.913097919	Blautia wexlerae:2786	1121115.PRJNA195783	Genes_ NA
progression.195	Blautia wexlerae:2795_2798	0.815484247	0.118859831	-0.058068809	0.288549162	0.964337218	Blautia wexlerae:2795	1121115.PRJNA195783	Genes_ NA
progression.196	Blautia wexlerae:3513_3516	0.070810059	0.205202712	0.029647733	0.368476875	0.588176301	Blautia wexlerae:3513	1121115.PRJNA195783	Genes_ NA
progression.197	Blautia wexlerae:3516_3524	0.681905672	0.072920991	-0.09801307	0.239675739	0.942357033	Blautia wexlerae:3516	1121115.PRJNA195783	Genes_ NA
progression.198	Blautia wexlerae:3524_3532	0.487138447	0.055209631	-0.118611296	0.225747388	0.876850512	Blautia wexlerae:3524	1121115.PRJNA195783	Genes_ NA
progression.199	Blautia wexlerae:4493_4494;4494_4498	0.812049657	0.161754532	-0.009813104	0.324070954	0.964337218	Blautia wexlerae:4493	1121115.PRJNA195783	Genes_ NA
progression.200	Blautia wexlerae:4404_4406	0.017515448	0.223744292	0.051618115	0.382960625	0.588176301	Blautia wexlerae:4404	1121115.PRJNA195783	Genes_ NA
progression.201	Blautia wexlerae:4406_4409	0.158919331	0.197177252	0.022107189	0.36051441	0.658074358	Blautia wexlerae:4406	1121115.PRJNA195783	Genes_ NA
progression.202	Blautia wexlerae:4425_4426	0.39069433	0.03666805	-0.128985486	0.200330673	0.810421341	Blautia wexlerae:4425	1121115.PRJNA195783	Genes_ NA
progression.203	Blautia wexlerae:4413_4415	0.851633987	0.133527051	-0.039912247	0.299155559	0.964337218	Blautia wexlerae:4413	1121115.PRJNA195783	Genes_ NA
progression.204	Blautia wexlerae:2760_2761;2762_2766	0.301039068	0.072644251	-0.104164719	0.245002148	0.778627063	Blautia wexlerae:2760	1121115.PRJNA195783	Genes_ NA
progression.205	Blautia wexlerae:2071_2073;4064_4065	0.586929336	0.116922651	-0.058865383	0.285677495	0.927678461	Blautia wexlerae:2071	1121115.PRJNA195783	Genes_ NA
progression.206	Blautia wexlerae:1714_1716	0.416330173	0.03583783	-0.134621333	0.204236887	0.816078055	Blautia wexlerae:1714	1121115.PRJNA195783	Genes_ NA
progression.207	Blautia wexlerae:610_611	0.565149093	0.145426871	-0.033130205	0.314987715	0.927678461	Blautia wexlerae:610	1121115.PRJNA195783	Genes_ NA
progression.208	Blautia wexlerae:3840_3846	0.831023424	0.194409852	0.020899276	0.356551946	0.964337218	Blautia wexlerae:3840	1121115.PRJNA195783	Genes_ NA
progression.209	Blautia wexlerae:2667_2668	0.350391155	0.00927079	-0.164292735	0.182277507	0.778627063	Blautia wexlerae:2667	1121115.PRJNA195783	Genes_ NA
progression.210	Blautia wexlerae:758_759	0.107371066	0.128268991	-0.045660944	0.294650841	0.623086261	Blautia wexlerae:758	1121115.PRJNA195783	Genes_ NA
progression.211	Blautia wexlerae:3617_3618	0.596334324	0.101978691	-0.070740612	0.268760949	0.927678461	Blautia wexlerae:3617	1121115.PRJNA195783	Genes_ NA
progression.212	Blautia wexlerae:3083_3087	0.498220562	0.175038052	-0.003157702	0.342459599	0.88525027	Blautia wexlerae:3083	1121115.PRJNA195783	Genes_ NA
progression.213	Blautia wexlerae:3614_3615	0.826269237	0.098381071	-0.076268184	0.267173202	0.964337218	Blautia wexlerae:3614	1121115.PRJNA195783	Genes_ NA
progression.214	Blautia wexlerae:768_770	0.350771774	-0.04275633	-0.215144513	0.132215907	0.778627063	Blautia wexlerae:768	1121115.PRJNA195783	Genes_ NA
progression.215	Blautia wexlerae:660_662	0.031641344	0.00152207	-0.164788696	0.16774868	0.588176301	Blautia wexlerae:660	1121115.PRJNA195783	Genes_ NA
progression.216	Blautia wexlerae:1218_1219	0.67068957	0.138785111	-0.035403554	0.304789882	0.942357033	Blautia wexlerae:1218	1121115.PRJNA195783	Genes_ NA
progression.217	Blautia wexlerae:2658_2664	0.900954254	0.158156912	-0.015883793	0.322895824	0.975633637	Blautia wexlerae:2658	1121115.PRJNA195783	Genes_ NA
progression.218	Blautia wexlerae:1980_1981	0.595730061	-0.03417739	-0.206049732	0.139740581	0.927678461	Blautia wexlerae:1980	1121115.PRJNA195783	Genes_ NA
progression.219	Blautia wexlerae:2735_2737	0.182529844	0.02891933	-0.144174065	0.200295558	0.692463672	Blautia wexlerae:2735	1121115.PRJNA195783	Genes_ NA
progression.220	Blautia wexlerae:1732_1734	0.279956029	0.182233292	0.006434893	0.347105059	0.772678641	Blautia wexlerae:1732	1121115.PRJNA195783	Genes_ NA
progression.221	Coprococcus comes:318_320;320_322;322_323	0.724905192	0.164621079	-0.03357553	0.350359759	0.944033003	Coprococcus comes:318	470146.PRJNA20525	Genes_ DNA-binding helix-turn-helix protein;replication initiator protein A domain protein;plasmid recombination enzyme;TnpX site-specific recombinase
progression.222	Coprococcus comes:316_318	0.657288493	0.130722774	-0.065085398	0.316837497	0.942357033	Coprococcus comes:316	470146.PRJNA20525	"Genes_ ;peptidase, M28 family;DNA-binding helix-turn-helix protein"
progression.223	Coprococcus comes:856_857;857_858;858_859	0.997803707	0.024352231	-0.163456448	0.210457571	0.997803707	Coprococcus comes:856	470146.PRJNA20525	"Genes_ sigma-70, region 4;DNA binding domain, excisionase family"
progression.224	Coprococcus comes:1215_1216;1216_1217;1217_1218;1219_1220	0.723395413	-0.059419443	-0.247762475	0.133251318	0.944033003	Coprococcus comes:1215	470146.PRJNA20525	"Genes_ ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein;response regulator receiver domain protein;efflux ABC transporter, permease protein;ABC transporter, ATP-binding protein"
progression.225	Coprococcus comes:553_555;555_556	0.581184414	0.096434833	-0.091824264	0.278038115	0.927678461	Coprococcus comes:553	470146.PRJNA20525	Genes_ DNA-binding helix-turn-helix protein
progression.226	Coprococcus comes:563_564	0.698800988	0.052016365	-0.138668478	0.238982216	0.942357033	Coprococcus comes:563	470146.PRJNA20525	Genes_ TnpX site-specific recombinase;
progression.227	Coprococcus comes:556_557	0.907966642	0.186440678	-0.009085606	0.368235344	0.978082838	Coprococcus comes:556	470146.PRJNA20525	Genes_ unannotated
progression.228	Coprococcus comes:559_560	0.143474305	-0.078511592	-0.262967836	0.111481732	0.636526454	Coprococcus comes:559	470146.PRJNA20525	Genes_ MobA/MobL family protein;CHC2 zinc finger domain protein
progression.229	Coprococcus comes:659_661;661_663	0.575310417	0.048509643	-0.142278058	0.235821999	0.927678461	Coprococcus comes:659	470146.PRJNA20525	"Genes_ MobA/MobL family protein;DNA binding domain, excisionase family;DNA-binding helix-turn-helix protein;site-specific recombinase, phage integrase family"
progression.230	Coprococcus comes:654_655;656_657	0.338463882	0.366062731	0.184844608	0.523205888	0.778627063	Coprococcus comes:654	470146.PRJNA20525	"Genes_ efflux ABC transporter, permease protein"
