	mgs	pval	delta	delta.low	delta.up	fdr	bacteria	genome	annotation
progression.360	Bacteroides uniformis:3880_3882;3882_3885;3886_3888;3888_3890	0.182842767	0.058704453	-0.087975585	0.20289276	0.841841383	Bacteroides uniformis:3880	411479.PRJNA18195	"Genes_ Fic family protein;topoisomerase DNA-binding C4 zinc finger domain protein;transcriptional regulator, AlpA family;site-specific recombinase, phage integrase family"
progression.392	Blautia obeum:498_499;529_530;571_572;2591_2592;3418_3420	0.189998045	0.068131868	-0.085168948	0.218281529	0.841841383	Blautia obeum:498	411459.PRJNA18147	"Genes_ prepilin-type cleavage/methylation N-terminal domain protein;macro domain protein;tryptophan--tRNA ligase;GroES-like protein;carbohydrate kinase, FGGY family protein;transcriptional regulator, AraC family;GHMP kinase, N-terminal domain protein;glycerol-3-phosphate cytidylyltransferase;putative delta-lactam-biosynthetic de-N-acetylase"
progression.425	Blautia obeum:1454_1455	0.177948593	0.084615385	-0.085720964	0.25014572	0.841841383	Blautia obeum:1454	411459.PRJNA18147	Genes_ adenosylcobinamide amidohydrolase;
progression.426	Blautia obeum:1457_1459	0.180936988	0.082417582	-0.072147545	0.233116967	0.841841383	Blautia obeum:1457	411459.PRJNA18147	Genes_ unannotated
progression.479	Blautia obeum:3064_3065	0.196292084	0.13956044	-0.031924798	0.303064099	0.841841383	Blautia obeum:3064	411459.PRJNA18147	Genes_ ;Fic family protein
progression.539	Blautia wexlerae:806_807	0.197011239	0.087588211	-0.063980775	0.235207412	0.841841383	Blautia wexlerae:806	1121115.PRJNA195783	Genes_ NA
progression.554	Blautia wexlerae:1056_1057	0.178093882	0.081084821	-0.069669461	0.228218213	0.841841383	Blautia wexlerae:1056	1121115.PRJNA195783	Genes_ NA
progression.572	Blautia wexlerae:1637_1638	0.173945803	0.127300401	-0.025861818	0.274623107	0.841841383	Blautia wexlerae:1637	1121115.PRJNA195783	Genes_ NA
progression.587	Blautia wexlerae:2149_2150	0.192456719	0.120658641	-0.017282013	0.254092017	0.841841383	Blautia wexlerae:2149	1121115.PRJNA195783	Genes_ NA
progression.610	Blautia wexlerae:2676_2677	0.189392456	0.098519441	-0.051988695	0.244651419	0.841841383	Blautia wexlerae:2676	1121115.PRJNA195783	Genes_ NA
progression.668	Blautia wexlerae:3957_3960	0.18254305	0.093399751	-0.059525177	0.242041176	0.841841383	Blautia wexlerae:3957	1121115.PRJNA195783	Genes_ NA
progression.693	Blautia wexlerae:4421_4422	0.180156485	0.094783451	-0.055677046	0.241034706	0.841841383	Blautia wexlerae:4421	1121115.PRJNA195783	Genes_ NA
progression.794	Coprococcus comes:3013_3014	0.194453801	0.050068186	-0.0960451	0.194069261	0.841841383	Coprococcus comes:3013	470146.PRJNA20525	Genes_ FtsK/SpoIIIE family protein;
progression.850	Anaerobutyricum hallii:1778_1779;2291_2293;2665_2667	0.183513398	-0.093034056	-0.222351516	0.03950027	0.841841383	Anaerobutyricum hallii:1778	411469.PRJNA18177	Genes_ helicase C-terminal domain protein;putative phage head-tail adaptor
progression.866	Anaerobutyricum hallii:2601_2602	0.189945505	0.074303406	-0.073148014	0.218575934	0.841841383	Anaerobutyricum hallii:2601	411469.PRJNA18177	Genes_ ;heavy metal-associated domain protein
progression.916	Ruminococcus sp. SR1/5:801_802	0.189223346	0.073161765	-0.078958369	0.221952186	0.841841383	Ruminococcus sp. SR1/5:801	657323.PRJNA39149	Genes_ unannotated
progression.935	Ruminococcus sp. SR1/5:1660_1662;1663_1665	0.175892417	0.096875	-0.046401127	0.236245582	0.841841383	Ruminococcus sp. SR1/5:1660	657323.PRJNA39149	Genes_ Helix-turn-helix.
progression.936	Ruminococcus sp. SR1/5:1662_1663;1665_1668	0.183947279	0.123161765	-0.040851049	0.280711498	0.841841383	Ruminococcus sp. SR1/5:1662	657323.PRJNA39149	"Genes_ Uncharacterized protein conserved in cyanobacteria;Site-specific recombinases, DNA invertase Pin homologs"
progression.962	Ruminococcus sp. SR1/5:2643_2658	0.196908786	0.084375	-0.078920254	0.243260598	0.841841383	Ruminococcus sp. SR1/5:2643	657323.PRJNA39149	"Genes_ Site-specific recombinase XerD;;MobA/MobL family.;Predicted transcriptional regulator;single-strand binding protein;N-6 DNA Methylase.;Site-specific recombinases, DNA invertase Pin homologs;Excisionase from transposon Tn916."
progression.994	Anaerostipes hadrus:193_195;212_214;637_639	0.196476605	0.038281979	-0.058729829	0.134577493	0.841841383	Anaerostipes hadrus:193	245018.PRJNA45957	"Genes_ ABC-type antimicrobial peptide transport system, permease component;ABC-type antimicrobial peptide transport system, ATPase component"
progression.1029	Anaerostipes hadrus:675_676	0.188030381	-0.159103641	-0.315532624	0.00574405	0.841841383	Anaerostipes hadrus:675	245018.PRJNA45957	"Genes_ Bacterial surface proteins containing Ig-like domains;transcriptional regulator, DeoR family"
progression.1066	Anaerostipes hadrus:1577_1580;1582_1590;1590_1599;1599_1609;1609_1610	0.191424144	-0.09038282	-0.23901116	0.062383687	0.841841383	Anaerostipes hadrus:1577	245018.PRJNA45957	"Genes_ butyryl-CoA dehydrogenase;Electron transfer flavoprotein, beta subunit;Electron transfer flavoprotein, alpha subunit;H+/gluconate symporter and related permeases;propionate CoA-transferase;Enoyl-CoA hydratase/carnithine racemase;Transcriptional regulators;ABC-type sugar transport system, periplasmic component;myo-inositol 2-dehydrogenase;sugar (Glycoside-Pentoside-Hexuronide) transporter;2-keto-myo-inositol dehydratase;Cytidylate kinase;Major Facilitator Superfamily.;fructose-bisphosphate aldolase;monosaccharide ABC transporter substrate-binding protein, CUT2 family (TC 3.A.1.2.-);Sugar phosphate isomerases/epimerases;Phosphotransferase system sorbitol-specific component IIA;Transcriptional regulators of sugar metabolism;5-dehydro-2-deoxygluconokinase;3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase;5-deoxyglucuronate isomerase;Alcohol dehydrogenase, class IV"
progression.1081	Anaerostipes hadrus:2241_2242	0.186193257	-0.1232493	-0.280219957	0.04014094	0.841841383	Anaerostipes hadrus:2241	245018.PRJNA45957	"Genes_ Transcriptional regulators, similar to M. xanthus CarD;"
progression.262	Faecalibacterium prausnitzii:2637_2638	0.199141985	0.112804878	-0.051078657	0.270772483	0.84272429	Faecalibacterium prausnitzii:2637	748224.PRJNA46809	Genes_ ;leucine Rich Repeat protein
progression.351	Bacteroides uniformis:3285_3286;3290_3292;3292_3300	0.198622207	0.064102564	-0.101786485	0.22652303	0.84272429	Bacteroides uniformis:3285	411479.PRJNA18195	"Genes_ site-specific recombinase, phage integrase family;DNA topoisomerase;PRTRC system protein E;PRTRC system protein C;putative PRTRC system protein B;PRTRC system ThiF family protein;DNA binding domain, excisionase family"
progression.436	Blautia obeum:1612_1619;1619_1620	0.199997208	0.10989011	-0.0613483	0.274844604	0.84272429	Blautia obeum:1612	411459.PRJNA18147	"Genes_ response regulator receiver domain protein;ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein;MATE domain protein;transcriptional regulator, MerR family"
progression.567	Blautia wexlerae:1381_1383;1497_1498;2453_2455;2455_2456;2959_2961;3440_3442;3444_3446;3679_3681	0.200856567	0.068631521	-0.041154312	0.176779895	0.84272429	Blautia wexlerae:1381	1121115.PRJNA195783	Genes_ NA
progression.745	Coprococcus comes:927_928	0.200383967	0.114552893	-0.040485527	0.26420496	0.84272429	Coprococcus comes:927	470146.PRJNA20525	Genes_ unannotated
progression.800	Coprococcus comes:3042_3043	0.201806519	-0.089811027	-0.250372555	0.075558608	0.843653245	Coprococcus comes:3042	470146.PRJNA20525	"Genes_ transposase, IS4 family"
progression.186	Faecalibacterium prausnitzii:781_783	0.204046913	-0.074695122	-0.235750671	0.090353806	0.849950812	Faecalibacterium prausnitzii:781	748224.PRJNA46809	Genes_ tRNA-Val;
progression.477	Blautia obeum:3059_3061	0.208594734	0.087912088	-0.045861225	0.21858789	0.85418105	Blautia obeum:3059	411459.PRJNA18147	Genes_ ;DNA (cytosine-5-)-methyltransferase
progression.620	Blautia wexlerae:2854_2857;2857_2862;2862_2864	0.208561066	0.094229971	-0.052362403	0.236846996	0.85418105	Blautia wexlerae:2854	1121115.PRJNA195783	Genes_ NA
progression.978	Ruminococcus sp. SR1/5:3056_3057	0.208750637	0.126286765	-0.017336856	0.264804158	0.85418105	Ruminococcus sp. SR1/5:3056	657323.PRJNA39149	Genes_ DNA replication protein;
progression.998	Anaerostipes hadrus:201_202	0.206863584	0.043697479	-0.10764442	0.193060052	0.85418105	Anaerostipes hadrus:201	245018.PRJNA45957	Genes_ unannotated
progression.1146	Bifidobacterium adolescentis:1689_1692;1692_1694;1694_1696;1696_1698	0.207177606	0.023148148	-0.140797992	0.185858637	0.85418105	Bifidobacterium adolescentis:1689	1680.PRJNA240293	"Genes_ galactokinase;ABC transporter;polysaccharide ABC transporter permease;sugar ABC transporter permease;LacI-type transcriptional regulator;glycosyl hydrolase family 32, N terminal domain protein;putative glycerol-3-phosphate dehydrogenase family"
progression.171	Faecalibacterium prausnitzii:577_579	0.209802966	-0.115472561	-0.241652035	0.014546954	0.855464205	Faecalibacterium prausnitzii:577	748224.PRJNA46809	"Genes_ toxin-antitoxin system, toxin component, MazF family;;site-specific recombinase, phage integrase family;tRNA-Met"
progression.102	[Eubacterium] rectale:2121_2123	0.213015921	0.121212121	-0.032571759	0.269389438	0.861559902	[Eubacterium] rectale:2121	657318.PRJNA39159	Genes_ 
progression.123	[Eubacterium] rectale:2606_2610;2610_2615;2618_2619	0.214273965	-0.04040404	-0.186218917	0.107152339	0.861559902	[Eubacterium] rectale:2606	657318.PRJNA39159	"Genes_ Fucose 4-O-acetylase and related acetyltransferases;Membrane protein involved in the export of O-antigen and teichoic acid;Predicted membrane protein;Predicted nucleoside-diphosphate sugar epimerases;Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis;Sugar transferases involved in lipopolysaccharide synthesis;Glycosyltransferases, probably involved in cell wall biogenesis;cell envelope-related function transcriptional attenuator common domain;UDP-glucose pyrophosphorylase"
progression.250	Faecalibacterium prausnitzii:2356_2357	0.21301293	0.056021341	-0.105545559	0.214706615	0.861559902	Faecalibacterium prausnitzii:2356	748224.PRJNA46809	Genes_ MutS domain I protein;DNA topoisomerase
progression.655	Blautia wexlerae:3716_3718	0.213544982	-0.03763664	-0.153977541	0.079733572	0.861559902	Blautia wexlerae:3716	1121115.PRJNA195783	Genes_ NA
progression.108	[Eubacterium] rectale:2270_2272	0.216156234	0.053030303	-0.05715962	0.161943786	0.862583083	[Eubacterium] rectale:2270	657318.PRJNA39159	Genes_ ;Uncharacterized distant relative of cell wall-associated hydrolases
progression.451	Blautia obeum:2440_2442;2442_2444	0.216187793	0.038461538	-0.114628682	0.189767316	0.862583083	Blautia obeum:2440	411459.PRJNA18147	Genes_ unannotated
progression.611	Blautia wexlerae:2678_2679	0.217516851	0.146810571	-0.005885246	0.292816074	0.862583083	Blautia wexlerae:2678	1121115.PRJNA195783	Genes_ NA
progression.643	Blautia wexlerae:3454_3457;3457_3459;3459_3460	0.21699877	0.058945621	-0.077618678	0.193338683	0.862583083	Blautia wexlerae:3454	1121115.PRJNA195783	Genes_ NA
progression.738	Coprococcus comes:826_827	0.220335572	0.107344633	-0.056735597	0.265778761	0.862583083	Coprococcus comes:826	470146.PRJNA20525	Genes_ glycoside/pentoside/hexuronide transporter
progression.825	Anaerobutyricum hallii:652_653	0.220715394	-0.079411765	-0.212234499	0.056291856	0.862583083	Anaerobutyricum hallii:652	411469.PRJNA18177	Genes_ response regulator receiver domain protein;ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein
progression.1008	Anaerostipes hadrus:391_396;403_409;409_412	0.218830079	0.112605042	-0.052457295	0.271678101	0.862583083	Anaerostipes hadrus:391	245018.PRJNA45957	"Genes_ DNA segregation ATPase FtsK/SpoIIIE and related proteins;Antirestriction protein (ArdA).;ABC-type multidrug transport system, ATPase and permease components;Helix-turn-helix.;DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog;Predicted phosphoesterases, related to the Icc protein;Site-specific recombinases, DNA invertase Pin homologs"
progression.1128	Bifidobacterium adolescentis:1022_1023	0.221232449	0.092592593	-0.085397178	0.2648553	0.862583083	Bifidobacterium adolescentis:1022	1680.PRJNA240293	"Genes_ ABC transporter, ATP-binding protein;efflux ABC transporter, permease protein"
progression.1150	Bifidobacterium adolescentis:1882_1888	0.219720006	-0.12962963	-0.299149617	0.04782261	0.862583083	Bifidobacterium adolescentis:1882	1680.PRJNA240293	"Genes_ 1,4-beta-N-acetylmuramidase;glycosyl transferase, family 2;acyltransferase;;glycosyl transferase, family 8"
progression.23	[Eubacterium] rectale:428_432	0.224007973	-0.09469697	-0.245600862	0.060688055	0.863851105	[Eubacterium] rectale:428	657318.PRJNA39159	Genes_ unannotated
progression.42	[Eubacterium] rectale:642_643	0.224541608	-0.151515152	-0.296187689	-4.62E-05	0.863851105	[Eubacterium] rectale:642	657318.PRJNA39159	Genes_ unannotated
progression.602	Blautia wexlerae:2621_2623	0.223870564	0.110696001	-0.042141467	0.25847117	0.863851105	Blautia wexlerae:2621	1121115.PRJNA195783	Genes_ NA
progression.1097	Anaerostipes hadrus:2752_2753	0.223706676	-0.103267974	-0.259833569	0.058587877	0.863851105	Anaerostipes hadrus:2752	245018.PRJNA45957	Genes_ unannotated
progression.75	[Eubacterium] rectale:1500_1502	0.226650684	-0.093434343	-0.239360071	0.056619223	0.864723579	[Eubacterium] rectale:1500	657318.PRJNA39159	Genes_ unannotated
progression.147	Faecalibacterium prausnitzii:175_176	0.226780956	-0.09222561	-0.252832385	0.073327605	0.864723579	Faecalibacterium prausnitzii:175	748224.PRJNA46809	"Genes_ peptidase M15;;holin, SPP1 family"
progression.222	Faecalibacterium prausnitzii:1342_1343	0.234298023	-0.116996951	-0.271292362	0.043161084	0.864723579	Faecalibacterium prausnitzii:1342	748224.PRJNA46809	Genes_ SNF2 family N-terminal domain protein
progression.345	Bacteroides uniformis:3042_3043	0.232465384	0.076923077	-0.089686561	0.239344701	0.864723579	Bacteroides uniformis:3042	411479.PRJNA18195	"Genes_ glycosyltransferase, group 4 family;NAD dependent epimerase/dehydratase family protein"
progression.422	Blautia obeum:1376_1380;1380_1406;1406_1413;1414_1415	0.22714136	-0.118681319	-0.280351039	0.049535849	0.864723579	Blautia obeum:1376	411459.PRJNA18147	"Genes_ DNA repair protein RadC;integrase core domain protein;Cpl-7 lysozyme C-terminal domain protein;toxin secretion/phage lysis holin;conserved domain protein;phage minor structural protein, N-terminal domain protein;phage tail tape measure protein, TP901 family;phage major tail protein, phi13 family;phage protein, HK97 gp10 family;putative phage head-tail adaptor;phage DNA packaging protein;phage major capsid protein, HK97 family;endopeptidase Clp;phage portal protein, HK97 family;putative phage terminase, large subunit;phage terminase, small subunit, P27 family;single-strand binding family protein;PemK-like protein;CobQ/CobB/MinD/ParA nucleotide binding domain protein;VRR-NUC domain protein;transglycosylase SLT domain protein;pyridine nucleotide-disulfide oxidoreductase"
progression.478	Blautia obeum:3061_3062	0.235583337	0.135164835	-0.034508825	0.297264951	0.864723579	Blautia obeum:3061	411459.PRJNA18147	Genes_ DNA (cytosine-5-)-methyltransferase;
progression.529	Blautia wexlerae:611_612;1976_1977;3004_3005;3028_3029;3039_3040	0.233451844	0.102808911	-0.049805674	0.25073204	0.864723579	Blautia wexlerae:611	1121115.PRJNA195783	Genes_ NA
progression.665	Blautia wexlerae:3904_3909	0.233652633	0.094921821	-0.054830353	0.240497716	0.864723579	Blautia wexlerae:3904	1121115.PRJNA195783	Genes_ NA
progression.696	Blautia wexlerae:4459_4460	0.23346358	0.074581431	-0.075183992	0.221056382	0.864723579	Blautia wexlerae:4459	1121115.PRJNA195783	Genes_ NA
progression.799	Coprococcus comes:3037_3039;3039_3042	0.229689007	-0.091564387	-0.243328408	0.064575828	0.864723579	Coprococcus comes:3037	470146.PRJNA20525	"Genes_ glucosamine-6-phosphate deaminase;N-acetylglucosamine-6-phosphate deacetylase;PTS system, glucose subfamily, IIA component;PTS system, glucose-like IIB component;transposase, IS4 family"
progression.822	Anaerobutyricum hallii:628_629;718_719	0.227825896	0.10247678	-0.039167141	0.240083522	0.864723579	Anaerobutyricum hallii:628	411469.PRJNA18177	"Genes_ ABC transporter, ATP-binding protein;bacterial group 2 Ig-like protein;ferric uptake regulation protein;tetratricopeptide repeat protein"
progression.879	Anaerobutyricum hallii:2888_2889	0.235969474	0.070433437	-0.086785136	0.224228936	0.864723579	Anaerobutyricum hallii:2888	411469.PRJNA18177	Genes_ unannotated
progression.992	Anaerostipes hadrus:183_185	0.232911072	0.093744164	-0.068298185	0.250967553	0.864723579	Anaerostipes hadrus:183	245018.PRJNA45957	"Genes_ Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase.;"
progression.1072	Anaerostipes hadrus:1900_1901	0.228568317	-0.111484594	-0.269209856	0.052064737	0.864723579	Anaerostipes hadrus:1900	245018.PRJNA45957	Genes_ Protein kinase domain.;
progression.1116	Bifidobacterium adolescentis:121_123;128_130	0.235919971	0.050925926	-0.106214448	0.205584547	0.864723579	Bifidobacterium adolescentis:121	1680.PRJNA240293	Genes_ sortase family protein;fimbrial subunit FimA
progression.181	Faecalibacterium prausnitzii:702_703	0.241544423	0.089939024	-0.068202262	0.24367155	0.865155504	Faecalibacterium prausnitzii:702	748224.PRJNA46809	"Genes_ resolvase, N-terminal domain protein;"
progression.367	Bacteroides uniformis:4330_4332	0.242324025	0.082995951	-0.083965912	0.245424982	0.865155504	Bacteroides uniformis:4330	411479.PRJNA18195	"Genes_ ;ISPg3, transposase family protein"
progression.404	Blautia obeum:1188_1190;1512_1513;2420_2421;2858_2859	0.242811346	0.073626374	-0.064376332	0.208865861	0.865155504	Blautia obeum:1188	411459.PRJNA18147	"Genes_ ABC transporter, ATP-binding protein;isocitrate dehydrogenase, NADP-dependent;peptidase, S8/S53 family;response regulator receiver domain protein;N-acetyl-gamma-glutamyl-phosphate reductase;transcriptional regulator, AraC family"
progression.509	Blautia wexlerae:212_213	0.239268022	0.058807251	-0.093422464	0.208350193	0.865155504	Blautia wexlerae:212	1121115.PRJNA195783	Genes_ NA
progression.530	Blautia wexlerae:645_648;648_650;650_657;3914_3917;3917_3941;3943_3948;3948_3950	0.237228268	0.122319081	-0.028528706	0.267719632	0.865155504	Blautia wexlerae:645	1121115.PRJNA195783	Genes_ NA
progression.804	Coprococcus comes:3144_3145;3149_3150;3151_3153	0.24060382	-0.078316774	-0.239563423	0.087134404	0.865155504	Coprococcus comes:3144	470146.PRJNA20525	Genes_ Ser/Thr phosphatase family protein;SCP-like protein
progression.821	Anaerobutyricum hallii:577_579	0.238637842	-0.073839009	-0.168530231	0.022202603	0.865155504	Anaerobutyricum hallii:577	411469.PRJNA18177	"Genes_ ;DNA binding domain, excisionase family;DNA mismatch endonuclease Vsr"
progression.848	Anaerobutyricum hallii:1690_1693;1701_1702	0.237828781	0.074613003	-0.082489598	0.228097208	0.865155504	Anaerobutyricum hallii:1690	411469.PRJNA18177	Genes_ DNA-binding helix-turn-helix protein;response regulator receiver domain protein
progression.1044	Anaerostipes hadrus:1166_1168	0.240843512	-0.116713352	-0.275336011	0.048095935	0.865155504	Anaerostipes hadrus:1166	245018.PRJNA45957	Genes_ Glycopeptide antibiotics resistance protein;
progression.892	Ruminococcus sp. SR1/5:222_223	0.244473811	0.033455882	-0.129171432	0.194330647	0.868406973	Ruminococcus sp. SR1/5:222	657323.PRJNA39149	Genes_ HNH endonuclease.
progression.56	[Eubacterium] rectale:871_875	0.256449052	0.069444444	-0.079333553	0.215196092	0.874629234	[Eubacterium] rectale:871	657318.PRJNA39159	Genes_ ;Cysteine protease
progression.89	[Eubacterium] rectale:1902_1904;1904_1905	0.261763965	0.111111111	-0.035245039	0.252801382	0.874629234	[Eubacterium] rectale:1902	657318.PRJNA39159	Genes_ Uncharacterized conserved protein;Transposase and inactivated derivatives
progression.139	[Eubacterium] rectale:3153_3155	0.249857146	0.137626263	-0.020280098	0.288833641	0.874629234	[Eubacterium] rectale:3153	657318.PRJNA39159	Genes_ Predicted small molecule binding protein (contains 3H domain);
progression.296	Bacteroides uniformis:1199_1200	0.260048043	0.085020243	-0.083541018	0.248851542	0.874629234	Bacteroides uniformis:1199	411479.PRJNA18195	Genes_ ;peptidase M16 inactive domain protein
progression.312	Bacteroides uniformis:1928_1933;1942_1944;1944_1950	0.250397257	0.103238866	-0.06994569	0.270382197	0.874629234	Bacteroides uniformis:1928	411479.PRJNA18195	"Genes_ bacterial sugar transferase;DegT/DnrJ/EryC1/StrS aminotransferase family protein;FAD binding domain protein;UDP-N-acetylglucosamine 2-epimerase;glycosyltransferase, group 1 family protein;nucleotide sugar dehydrogenase;bacterial transferase hexapeptide repeat protein;oxidoreductase, NAD-binding domain protein;transcription termination/antitermination factor NusG"
progression.316	Bacteroides uniformis:1993_1995	0.25352821	-0.012145749	-0.182578557	0.158995701	0.874629234	Bacteroides uniformis:1993	411479.PRJNA18195	Genes_ polysaccharide biosynthesis protein;
progression.346	Bacteroides uniformis:3043_3044	0.261233585	0.087719298	-0.068197689	0.239453583	0.874629234	Bacteroides uniformis:3043	411479.PRJNA18195	Genes_ NAD dependent epimerase/dehydratase family protein
progression.395	Blautia obeum:841_842	0.247968906	-0.081318681	-0.234058295	0.075338382	0.874629234	Blautia obeum:841	411459.PRJNA18147	"Genes_ ;peptide maturation system protein, TIGR04066 family"
progression.481	Blautia obeum:3077_3078	0.255215374	0.130769231	-0.039120067	0.293310738	0.874629234	Blautia obeum:3077	411459.PRJNA18147	Genes_ conserved domain protein;;3-oxoacyl-[acyl-carrier-protein] reductase domain protein
progression.517	Blautia wexlerae:409_411;414_415	0.250866708	0.097550851	-0.03427805	0.226043173	0.874629234	Blautia wexlerae:409	1121115.PRJNA195783	Genes_ NA
progression.543	Blautia wexlerae:843_850;1837_1841	0.256006367	0.076103501	-0.07661718	0.225335063	0.874629234	Blautia wexlerae:843	1121115.PRJNA195783	Genes_ NA
progression.614	Blautia wexlerae:2730_2731	0.25819867	0.115677321	-0.032757502	0.259119379	0.874629234	Blautia wexlerae:2730	1121115.PRJNA195783	Genes_ NA
progression.642	Blautia wexlerae:3427_3429;3429_3435;3435_3436	0.261034555	0.086896361	-0.065797606	0.235613772	0.874629234	Blautia wexlerae:3427	1121115.PRJNA195783	Genes_ NA
progression.842	Anaerobutyricum hallii:1526_1530	0.25287821	0.053405573	-0.099816136	0.204153123	0.874629234	Anaerobutyricum hallii:1526	411469.PRJNA18177	"Genes_ ABC transporter, ATP-binding protein;;RNA polymerase factor sigma-70;8-oxoguanine DNA-glycosylase (ogg)"
progression.855	Anaerobutyricum hallii:2039_2041	0.260079196	-0.074303406	-0.218575934	0.073148014	0.874629234	Anaerobutyricum hallii:2039	411469.PRJNA18177	Genes_ ;Sigma-70 region 2
progression.867	Anaerobutyricum hallii:2636_2638;2638_2642	0.260174252	0.040712074	-0.109477265	0.189083956	0.874629234	Anaerobutyricum hallii:2636	411469.PRJNA18177	"Genes_ transcriptional regulator, GntR family;polysaccharide deacetylase;amino acid carrier protein;2-dehydropantoate 2-reductase"
progression.893	Ruminococcus sp. SR1/5:223_225;225_226;233_235;235_237;238_240;258_259	0.259318486	-0.063235294	-0.179390023	0.054658262	0.874629234	Ruminococcus sp. SR1/5:223	657323.PRJNA39149	"Genes_ HNH endonuclease.;Predicted transcriptional regulators;Predicted Zn peptidase;phage tail tape measure protein, TP901 family, core region;Acetyltransferases;Muramidase (flagellum-specific)"
progression.931	Ruminococcus sp. SR1/5:1477_1484;1484_1486	0.258923335	-0.071875	-0.225765432	0.08551526	0.874629234	Ruminococcus sp. SR1/5:1477	657323.PRJNA39149	"Genes_ Biotin carboxylase;Sugar transferases involved in lipopolysaccharide synthesis;Glycosyltransferase;Glycosyltransferases, probably involved in cell wall biogenesis"
progression.964	Ruminococcus sp. SR1/5:2708_2712	0.255108896	0.044669118	-0.116213589	0.203267732	0.874629234	Ruminococcus sp. SR1/5:2708	657323.PRJNA39149	Genes_ unannotated
progression.997	Anaerostipes hadrus:200_201	0.262086653	0.100840336	-0.064019024	0.260341954	0.874629234	Anaerostipes hadrus:200	245018.PRJNA45957	Genes_ unannotated
progression.1051	Anaerostipes hadrus:1276_1281	0.257778752	0.074883287	-0.080562665	0.226773208	0.874629234	Anaerostipes hadrus:1276	245018.PRJNA45957	Genes_ Domain of unknown function (DUF1814).;;Protein of unknown function (DUF3732).
progression.681	Blautia wexlerae:4306_4309	0.262853255	-0.060190951	-0.209258903	0.091611005	0.874666866	Blautia wexlerae:4306	1121115.PRJNA195783	Genes_ NA
progression.182	Faecalibacterium prausnitzii:712_715	0.265070228	0.04839939	-0.113946537	0.208227736	0.877765267	Faecalibacterium prausnitzii:712	748224.PRJNA46809	"Genes_ ATPase, AAA family;;DNA binding domain, excisionase family"
progression.559	Blautia wexlerae:1154_1156;2247_2249;3414_3416;3416_3419;3420_3422;3966_3969	0.265300383	0.00954753	-0.119793539	0.138569914	0.877765267	Blautia wexlerae:1154	1121115.PRJNA195783	Genes_ NA
progression.542	Blautia wexlerae:839_841	0.268090201	-0.086342881	-0.222114755	0.052713786	0.881955831	Blautia wexlerae:839	1121115.PRJNA195783	Genes_ NA
progression.724	Coprococcus comes:497_498	0.267588997	-0.085135398	-0.235405329	0.069109958	0.881955831	Coprococcus comes:497	470146.PRJNA20525	"Genes_ glycosyltransferase, group 2 family protein;phosphoglycerate mutase family protein"
progression.342	Bacteroides uniformis:2876_2878	0.269437559	0.087719298	-0.068197689	0.239453583	0.883877318	Bacteroides uniformis:2876	411479.PRJNA18195	"Genes_ NAD dependent epimerase/dehydratase family protein;;glycosyltransferase, group 1 family protein"
progression.106	[Eubacterium] rectale:2220_2223;2223_2225	0.271220831	-0.078282828	-0.215189715	0.061641825	0.887213904	[Eubacterium] rectale:2220	657318.PRJNA39159	Genes_ Predicted transcriptional regulators
progression.444	Blautia obeum:2125_2127	0.272281177	0.068131868	-0.102445756	0.234817069	0.88817353	Blautia obeum:2125	411459.PRJNA18147	Genes_ thiamine transporter protein (Thia_YuaJ);;S-adenosyl-methyltransferase MraW
progression.178	Faecalibacterium prausnitzii:647_648	0.279561383	0.063643293	-0.086919136	0.211363218	0.890526727	Faecalibacterium prausnitzii:647	748224.PRJNA46809	Genes_ unannotated
progression.210	Faecalibacterium prausnitzii:1265_1266	0.277829021	0.071646341	-0.090738741	0.230320254	0.890526727	Faecalibacterium prausnitzii:1265	748224.PRJNA46809	Genes_ unannotated
progression.269	Bacteroides uniformis:30_48;73_83;83_86;86_88;88_90;775_777;1220_1231;2411_2415;2415_2418;2418_2420;2420_2423;2423_2426;2427_2429;2429_2432;2434_2436;2438_2440;2440_2442;4167_4169;4179_4180	0.275616222	0.099190283	-0.063313078	0.256569712	0.890526727	Bacteroides uniformis:30	411479.PRJNA18195	"Genes_ ROK family protein;Tat pathway signal sequence domain protein;MFS transporter, SP family;N-acylglucosamine 2-epimerase;TonB-linked outer membrane protein, SusC/RagA family;SusD family protein;tetratricopeptide repeat protein;glycosyltransferase, group 1 family protein;glycosyltransferase, group 2 family protein;bacterial transferase hexapeptide repeat protein;NAD dependent epimerase/dehydratase family protein;acyltransferase;polysaccharide biosynthesis protein;nucleotide sugar dehydrogenase;RHS repeat-associated core domain protein;ribokinase;DNA alkylation repair enzyme;ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein;arylsulfatase;glycosyl hydrolase family 76;glycosyl hydrolase family 2, sugar binding domain protein;putative alpha-1,2-mannosidase;anaerobic sulfatase maturase;aldose 1-epimerase;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
